Trait: Delta Recruit|Delta Recruit (trait)
Trait: Lobes|Lobes (ground trait)
Trait: Enhanced Personal Shields|Enhanced Personal Shields (ground trait)
Trait: Mental Discipline/boff|Mental Discipline (bridge officer trait)
Trait: Orbital Devastation|Orbital Devastation (ground trait)
Trait: Situational Awareness|Situational Awareness (ground trait)
Trait: Pounce/boff|Pounce (bridge officer trait)
Trait: Mental Burst/boff|Mental Burst (bridge officer trait)
Trait: Covert/boff|Covert (bridge officer trait)
Trait: Medical Vanguard|Medical Vanguard (ground trait)
Trait: Empathic/boff|Empathic (bridge officer trait)
Trait: Creative/boff|Creative (bridge officer trait)
Trait: Physical Strength|Physical Strength (ground trait)
Trait: Warrior|Warrior (ground trait)
Trait: Empathic Reverberation|Empathic Reverberation (ground trait)
Trait: Plasma Weapon Specialist|Plasma Weapon Specialist (ground trait)
Trait: Pig-Headed/boff|Pig-Headed (bridge officer trait)
Trait: Corrosive Blood|Corrosive Blood (ground trait)
Trait: Cryonic Visor Beam/boff|Cryonic Visor Beam (bridge officer trait)
Trait: Stubborn|Stubborn (ground trait)
Trait: Reactive Shielding|Reactive Shielding (ground trait)
Trait: Mental Discipline|Mental Discipline (ground trait)
Trait: Android/boff|Android (bridge officer trait)
Trait: Drone Summon Passive/boff|Drone Summon Passive (bridge officer trait)
Trait: Peak Health|Peak Health (ground trait)
Trait: Neural Blast/boff|Neural Blast (bridge officer trait)
Trait: Telekinetic/boff|Telekinetic (bridge officer trait)
Trait: Identify Vulnerability|Identify Vulnerability (ground trait)
Trait: Active Armor Hardening|Active Armor Hardening (ground trait)
Trait: Veteran/boff|Veteran (bridge officer trait)
Trait: Aggressive/boff|Aggressive (bridge officer trait)
Trait: Cold Blooded|Cold Blooded (ground trait)
Trait: Seductive/boff|Seductive (bridge officer trait)
Trait: Shield Harmonic Resonance|Shield Harmonic Resonance (ground trait)
Trait: Shroud/boff|Shroud (bridge officer trait)
Trait: Firearms Specialist|Firearms Specialist (ground trait)
Trait: Emergency Fix|Emergency Fix (ground trait)
Trait: Aggressive|Aggressive (ground trait)
Trait: Immunity Response|Immunity Response (ground trait)
Trait: Hyper Metabolism/boff|Hyper Metabolism (bridge officer trait)
Trait: Integrated Nanofibers|Integrated Nanofibers (ground trait)
Trait: Empathic Adaptation|Empathic Adaptation (ground trait)
Trait: Diburnium Mesh|Diburnium Mesh (ground trait)
Trait: Resilient/boff|Resilient (bridge officer trait)
Trait: Cold Dwelling/boff|Cold Dwelling (bridge officer trait)
Trait: Logical/boff|Logical (bridge officer trait)
Trait: Deadly Aim|Deadly Aim (ground trait)
Trait: Sure Footed/boff|Sure Footed (bridge officer trait)
Trait: Hyper Metabolism|Hyper Metabolism (ground trait)
Trait: Seductive|Seductive (ground trait)
Trait: Telepathic|Telepathic (ground trait)
Trait: Natural Armor|Natural Armor (ground trait)
Trait: Feline Instincts/boff|Feline Instincts (bridge officer trait)
Trait: Project Image/boff|Project Image (bridge officer trait)
Trait: Mind Meld|Mind Meld (ground trait)
Trait: Pacification/boff|Pacification (bridge officer trait)
Trait: Courier's Reflexes|Courier's Reflexes (ground trait)
Trait: Unyielding Ideals|Unyielding Ideals (ground trait)
Trait: Bite|Bite (ground trait)
Trait: Disassembler|Disassembler (ground trait)
Trait: Assimilate Dead/boff|Assimilate Dead (bridge officer trait)
Trait: Blindsense/boff|Blindsense (bridge officer trait)
Trait: Strike Team Specialist|Strike Team Specialist (ground trait)
Trait: Accept No Sacrifice|Accept No Sacrifice (ground trait)
Trait: Watcher Companion Shapeshift/boff|Watcher Companion Shapeshift (bridge officer trait)
Trait: Teamwork/boff|Teamwork (bridge officer trait)
Trait: Armor Penetration|Armor Penetration (ground trait)
Trait: Saru's Vigor|Saru's Vigor (ground trait)
Trait: Absolute Candor|Absolute Candor (ground trait)
Trait: Ironsides|Ironsides (ground trait)
Trait: Physical Strength/boff|Physical Strength (bridge officer trait)
Trait: Reptilian Strength|Reptilian Strength (ground trait)
Trait: Spirit Walk/boff|Spirit Walk (bridge officer trait)
Trait: Fluidic Antigens|Fluidic Antigens (ground trait)
Trait: Omega Weapon Proficiency|Omega Weapon Proficiency (ground trait)
Trait: Adaptive Defense (ground)|Adaptive Defense (ground trait)
Trait: Telekinetic|Telekinetic (ground trait)
Trait: Vicious|Vicious (ground trait)
Trait: Adrenal Release|Adrenal Release (ground trait)
Trait: Reboot/boff|Reboot (bridge officer trait)
Trait: Subspace Manipulator|Subspace Manipulator (ground trait)
Trait: Mind Meld/boff|Mind Meld (bridge officer trait)
Trait: Warrior's Blood|Warrior's Blood (ground trait)
Trait: Empathic|Empathic (ground trait)
Trait: Rending Shots|Rending Shots (ground trait)
Trait: Bio-Organic Sedative/boff|Bio-Organic Sedative (bridge officer trait)
Trait: Regenerative Tissue|Regenerative Tissue (ground trait)
Trait: Cold Blooded/boff|Cold Blooded (bridge officer trait)
Trait: Agony Modulator|Agony Modulator (ground trait)
Trait: Reprisal|Reprisal (ground trait)
Trait: Photonic Lifeform/boff|Photonic Lifeform (bridge officer trait)
Trait: Medical Nanites|Medical Nanites (ground trait)
Trait: Soldier/boff|Soldier (bridge officer trait)
Trait: Neural Blast|Neural Blast (ground trait)
Trait: Dumb Luck|Dumb Luck (ground trait)
Trait: Predatory Instincts|Predatory Instincts (ground trait)
Trait: Neural Network Overload|Neural Network Overload (ground trait)
Trait: Savior|Savior (ground trait)
Trait: Bombardier|Bombardier (ground trait)
Trait: Taking You With Me|Taking You With Me (ground trait)
Trait: Emergency Personal Cloaking Device|Emergency Personal Cloaking Device (ground trait)
Trait: Combined Assault|Combined Assault (ground trait)
Trait: Medical Nanite Cloud|Medical Nanite Cloud (ground trait)
Trait: Field Researcher|Field Researcher (ground trait)
Trait: Zhat Vash Venom|Zhat Vash Venom (ground trait)
Trait: Expedient Care|Expedient Care (ground trait)
Trait: Nerve Pinch/boff|Nerve Pinch (bridge officer trait)
Trait: Molt|Molt (ground trait)
Trait: Slippery Target (Lukari Reputation)|Slippery Target (Lukari Reputation) (ground trait)
Trait: Peak Health/boff|Peak Health (bridge officer trait)
Trait: Combat Awareness|Combat Awareness (ground trait)
Trait: Active Rerouting|Active Rerouting (ground trait)
Trait: Flux/boff|Flux (bridge officer trait)
Trait: Omega Graviton Pulse Module|Omega Graviton Pulse Module (ground trait)
Trait: Magnified Armaments|Magnified Armaments (ground trait)
Trait: Consulting the Team|Consulting the Team (ground trait)
Trait: Munitions Dampeners|Munitions Dampeners (ground trait)
Trait: Pacifist/boff|Pacifist (bridge officer trait)
Trait: Honorable/boff|Honorable (bridge officer trait)
Trait: Engineered Soldier/boff|Engineered Soldier (bridge officer trait)
Trait: Warrior/boff|Warrior (bridge officer trait)
Trait: Feline Instincts|Feline Instincts (ground trait)
Trait: Mind Drain|Mind Drain (ground trait)
Trait: Coalition Squad Tactics|Coalition Squad Tactics (ground trait)
Trait: Suspended Animation/boff|Suspended Animation (bridge officer trait)
Trait: Mental Conditioning|Mental Conditioning (ground trait)
Trait: Borg Nanites/boff|Borg Nanites (bridge officer trait)
Trait: Conduit|Conduit (ground trait)
Trait: Choose to Live|Choose to Live (ground trait)
Trait: Imminent Danger|Imminent Danger (ground trait)
Trait: Fury|Fury (ground trait)
Trait: Up Close and Personal|Up Close and Personal (ground trait)
Trait: Limited Telepathy/boff|Limited Telepathy (bridge officer trait)
Trait: Rapture|Rapture (ground trait)
Trait: Destabilizing Phase Screen|Destabilizing Phase Screen (ground trait)
Trait: Improved Warrior's Blood|Improved Warrior's Blood (ground trait)
Trait: Engineered Soldier|Engineered Soldier (ground trait)
Trait: To Absent Friends|To Absent Friends (ground trait)
Trait: Honorable|Honorable (ground trait)
Trait: Physical Conditioning|Physical Conditioning (ground trait)
Trait: Brawler|Brawler (ground trait)
Trait: Regenerative Shield Augmentation|Regenerative Shield Augmentation (ground trait)
Trait: Maquis Guile|Maquis Guile (ground trait)
Trait: Landry's Tenacity|Landry's Tenacity (ground trait)
Trait: Holo-Decoys|Holo-Decoys (ground trait)
Trait: Reactive Healing Accelerator|Reactive Healing Accelerator (ground trait)
Trait: Pack Leader|Pack Leader (ground trait)
Trait: Jem'Hadar Vitality/boff|Jem'Hadar Vitality (bridge officer trait)
Trait: Natural Immunities/boff|Natural Immunities (bridge officer trait)
Trait: Cryo Immobilizer Module|Cryo Immobilizer Module (ground trait)
Trait: Unconventional Gear|Unconventional Gear (ground trait)
Trait: Security Detail|Security Detail (ground trait)
Trait: Tenavik's Counsel|Tenavik's Counsel (ground trait)
Trait: Show No Weakness|Show No Weakness (ground trait)
Trait: Reactive Protomatter Infusion|Reactive Protomatter Infusion (ground trait)
Trait: Technophile|Technophile (ground trait)
Trait: Self-Modulating Shots|Self-Modulating Shots (ground trait)
Trait: Temporal Flux Conditioning|Temporal Flux Conditioning (ground trait)
Trait: Universal Law is for Lackeys|Universal Law is for Lackeys (ground trait)
Trait: Rifle Training|Rifle Training (ground trait)
Trait: Watch Your Back|Watch Your Back (ground trait)
Trait: Assault Training|Assault Training (ground trait)
Trait: Indirect Shielding|Indirect Shielding (ground trait)
Trait: Resonating Module Attachment|Resonating Module Attachment (ground trait)
Trait: Restorative Control Synergy|Restorative Control Synergy (ground trait)
Trait: Brutal Impetus|Brutal Impetus (ground trait)
Trait: Introspection|Introspection (ground trait)
Trait: One Little Ship|One Little Ship (ground trait)
Trait: Concussive Tachyon Emission|Concussive Tachyon Emission (ground trait)
Trait: Serenity|Serenity (ground trait)
Trait: Rogue's Gallery|Rogue's Gallery (ground trait)
Trait: Ambush Fighter|Ambush Fighter (ground trait)
Trait: Space Explorer is a Great Gig|Space Explorer is a Great Gig (ground trait)
Trait: Pistol Training|Pistol Training (ground trait)
Trait: Permeating Radiation|Permeating Radiation (ground trait)
Trait: Tyler's Memories|Tyler's Memories (ground trait)
Trait: Close Quarters Combatant|Close Quarters Combatant (ground trait)
Trait: Honor The Fallen/boff|Honor The Fallen (bridge officer trait)
Trait: Undeniable|Undeniable (ground trait)
Trait: Piezo-Electric Perimeter Snare|Piezo-Electric Perimeter Snare (ground trait)
Trait: Volatile Defenses|Volatile Defenses (ground trait)
Trait: For the Empire/boff|For the Empire (bridge officer trait)
Trait: Distributed Shield Rerouting|Distributed Shield Rerouting (ground trait)
Trait: Privateer's Luck|Privateer's Luck (ground trait)
Trait: Meditative Calm|Meditative Calm (ground trait)
Trait: Engineered Soldier (Ground)/boff|Engineered Soldier (bridge officer trait)
Trait: Target Designator/boff|Target Designator (bridge officer trait)
Trait: Strengthened Personal Shielding|Strengthened Personal Shielding (ground trait)
Trait: Bond With Life|Bond With Life (ground trait)
Trait: Seduce|Seduce (ground trait)
Trait: Spirit Walk|Spirit Walk (ground trait)
Trait: Blissful Agony|Blissful Agony (ground trait)
Trait: Make an Example|Make an Example (ground trait)
Trait: Adaptive Offense (ground)|Adaptive Offense (ground trait)
Trait: Hunter Instincts|Hunter Instincts (ground trait)
Trait: Limited Telepathy|Limited Telepathy (ground trait)
Trait: Logical|Logical (ground trait)
Trait: Overcharging|Overcharging (ground trait)
Trait: Sixth Sense|Sixth Sense (ground trait)
Trait: Photonic Armor Protocol|Photonic Armor Protocol (ground trait)
Trait: Shroud|Shroud (ground trait)
Trait: Strength of Body|Strength of Body (ground trait)
Trait: Assault Drone Fabrication|Assault Drone Fabrication (ground trait)
Trait: Piezo-Electric Discharge|Piezo-Electric Discharge (ground trait)
Trait: Hive Defenses (ground)|Hive Defenses (ground trait)
Trait: Lower Decks Experience|Lower Decks Experience (ground trait)
Trait: Nanoprobe Contagion|Nanoprobe Contagion (ground trait)
Trait: Upgraded Gear|Upgraded Gear (ground trait)
Trait: Critical Feint|Critical Feint (ground trait)
Trait: Hive Mind|Hive Mind (ground trait)
Trait: Spring in Your Step|Spring in Your Step (ground trait)
Trait: Shadow of the Black Mountain|Shadow of the Black Mountain (ground trait)
Trait: Supersaturated Katra Stones|Supersaturated Katra Stones (ground trait)
Trait: Yielding Feint|Yielding Feint (ground trait)
Trait: Miniaturized Chrono-Capacitor|Miniaturized Chrono-Capacitor (ground trait)
Trait: Teamwork|Teamwork (ground trait)
Trait: Dulce Et Decorum Est|Dulce Et Decorum Est (ground trait)
Trait: Berserker|Berserker (ground trait)
Trait: Unstoppable|Unstoppable (ground trait)
Trait: Visual Dampening Field|Visual Dampening Field (ground trait)
Trait: Indomitable|Indomitable (ground trait)
Trait: Invigorating Radiation|Invigorating Radiation (ground trait)
Trait: Field Technician|Field Technician (ground trait)
Trait: Dangers to the Alliance|Dangers to the Alliance (ground trait)
Trait: Tumultuous|Tumultuous (ground trait)
Trait: Strength of Mind|Strength of Mind (ground trait)
Trait: Airiam's Augments|Airiam's Augments (ground trait)
Trait: Gone Before Security Arrives|Gone Before Security Arrives (ground trait)
Trait: Acute Senses/boff|Acute Senses (bridge officer trait)
Trait: Rogue's Charm|Rogue's Charm (ground trait)
Trait: Tricorder Analysis|Tricorder Analysis (ground trait)
Trait: Viral Weapon Overload|Viral Weapon Overload (ground trait)
Trait: Mind Drain/boff|Mind Drain (bridge officer trait)
Trait: Terran Vision|Terran Vision (ground trait)
Trait: Liberated Borg Kingdom Nanoprobes (ground)|Liberated Borg Kingdom Nanoprobes(ground trait)
Trait: Sure Footed|Sure Footed (ground trait)
Trait: Creative|Creative (ground trait)
Trait: Soldier|Soldier (ground trait)
Trait: Sturdy|Sturdy (ground trait)
Trait: Barter By Combat|Barter By Combat (ground trait)
Trait: Glass Cannon|Glass Cannon (ground trait)
Trait: Scent of Blood|Scent of Blood (ground trait)
Trait: Resonating Personal Shields|Resonating Personal Shields (ground trait)
