Ability: Transwarp|Transwarp (ability)
Ability: Neural Neutralizer|Neural Neutralizer (ability)
Ability: Anesthizine Gas|Anesthizine Gas (ability)
Ability: Nanite Health Monitor|Nanite Health Monitor (ability)
Ability: Hypospray - Dylovene|Hypospray - Dylovene (ability)
Ability: Scramble Sensors|Scramble Sensors (ability)
Ability: Chroniton Mine Barrier|Chroniton Mine Barrier (ability)
Ability: Quick Fix|Quick Fix (ability)
Ability: Shield Recharge|Shield Recharge (ability)
Ability: Weapons Malfunction|Weapons Malfunction (ability)
Ability: Shield Generator Fabrication|Shield Generator Fabrication (ability)
Ability: Turret Fabrication|Turret Fabrication (ability)
Ability: Equipment Diagnostics|Equipment Diagnostics (ability)
Ability: Medical Generator Fabrication|Medical Generator Fabrication (ability)
Ability: Quantum Mortar Fabrication|Quantum Mortar Fabrication (ability)
Ability: Combat Supply|Combat Supply (ability)
Ability: Fuse Armor|Fuse Armor (ability)
Ability: Beams: Overload|Beams: Overload (ability)
Ability: Tactical Team|Tactical Team (ability)
Ability: Battle Cloak|Battle Cloak (ability)
Ability: Torpedo: Spread|Torpedo: Spread (ability)
Ability: Auxiliary to Battery|Auxiliary to Battery (ability)
Ability: Auxiliary to Structural|Auxiliary to Structural (ability)
Ability: Boarding Party|Boarding Party (ability)
Ability: Directed Energy Modulation|Directed Energy Modulation (ability)
Ability: Extend Shields|Extend Shields (ability)
Ability: Photonic Officer|Photonic Officer (ability)
Ability: Photonic Shockwave|Photonic Shockwave (ability)
Ability: Viral Matrix|Viral Matrix (ability)
Ability: Gravity Well|Gravity Well (ability)
Ability: Tyken's Rift|Tyken's Rift (ability)
Ability: Charged Particle Burst|Charged Particle Burst (ability)
Ability: Polarize Hull|Polarize Hull (ability)
Ability: Cloak|Cloak (ability)
Ability: Attack Pattern Omega|Attack Pattern Omega (ability)
Ability: Cannons: Rapid Fire|Cannons: Rapid Fire (ability)
Ability: Photonic Fleet|Photonic Fleet (ability)
Ability: Abandon Ship|Abandon Ship (ability)
Ability: Attack Pattern Beta|Attack Pattern Beta (ability)
Ability: Attack Pattern Delta|Attack Pattern Delta (ability)
Ability: Dispersal Pattern Alpha|Dispersal Pattern Alpha (ability)
Ability: Dispersal Pattern Beta|Dispersal Pattern Beta (ability)
Ability: Miraculous Repairs|Miraculous Repairs (ability)
Ability: Run|Run (ability)
Ability: Roll|Roll (ability)
Ability: Crouch|Crouch (ability)
Ability: Reverse Shield Polarity|Reverse Shield Polarity (ability)
Ability: Emergency Power to Weapons|Emergency Power to Weapons (ability)
Ability: Eject Warp Plasma|Eject Warp Plasma (ability)
Ability: Triage|Triage (ability)
Ability: Biofilter Sweep|Biofilter Sweep (ability)
Ability: Exothermic Induction Field|Exothermic Induction Field (ability)
Ability: Vascular Regenerator|Vascular Regenerator (ability)
Ability: Nanoprobe Infestation|Nanoprobe Infestation (ability)
Ability: Fire on my Mark (Space)|Fire on my Mark (space ability)
Ability: Force Field Dome|Force Field Dome (ability)
Ability: Tactical Initiative (Ground)|Tactical Initiative (ground ability)
Ability: Tactical Initiative (Space)|Tactical Initiative (space ability)
Ability: Security Escort|Security Escort (ability)
Ability: Orbital Strike|Orbital Strike (ability)
Ability: Subnucleonic Beam|Subnucleonic Beam (ability)
Ability: Scattering Field|Scattering Field (ability)
Ability: Cardiopulmonary Resuscitation|Cardiopulmonary Resuscitation (ability)
Ability: Tractor Beam Repulsors|Tractor Beam Repulsors (ability)
Ability: Energy Siphon|Energy Siphon (ability)
Ability: Cannons: Scatter Volley|Cannons: Scatter Volley (ability)
Ability: Emergency Power to Auxiliary|Emergency Power to Auxiliary (ability)
Ability: Mask Energy Signature|Mask Energy Signature (ability)
Ability: Feedback Pulse|Feedback Pulse (ability)
Ability: Fleet Support|Fleet Support (ability)
Ability: Target Auxiliary Subsystems|Target Auxiliary Subsystems (ability)
Ability: Target Shields Subsystems|Target Shields Subsystems (ability)
Ability: Target Engines Subsystems|Target Engines Subsystems (ability)
Ability: Target Weapons Subsystems|Target Weapons Subsystems (ability)
Ability: Quantum Slipstream Drive|Quantum Slipstream Drive (ability)
Ability: Strike Team|Strike Team (ability)
Ability: Ablative Generator|Ablative Generator (ability)
Ability: Phaser Spinal Lance|Phaser Spinal Lance (ability)
Ability: Tachyon Detection Field|Tachyon Detection Field (ability)
Ability: Tachyon Detection Grid|Tachyon Detection Grid (ability)
Ability: Engineering Proficiency|Engineering Proficiency (ability)
Ability: Scientific Aptitude|Scientific Aptitude (ability)
Ability: Tactical Fleet|Tactical Fleet (ability)
Ability: Engineering Fleet|Engineering Fleet (ability)
Ability: Science Fleet|Science Fleet (ability)
Ability: Enhanced Battle Cloak|Enhanced Battle Cloak (ability)
Ability: Javelin|Javelin (ability)
Ability: Assimilated Tractor Beam|Assimilated Tractor Beam (ability)
Ability: Siege Mode|Siege Mode (ability)
Ability: Grappler|Grappler (ability)
Ability: Launch Support Craft|Launch Support Craft (ability)
Ability: Sensor Analysis|Sensor Analysis (ability)
Ability: SIF Transfer|SIF Transfer (ability)
Ability: Multi-Vector Assault Mode - Alpha Command|Multi-Vector Assault Mode - Alpha Command (ability)
Ability: Multi-Vector Assault Mode - Beta Command|Multi-Vector Assault Mode - Beta Command (ability)
Ability: Multi-Vector Assault Mode - Gamma Command|Multi-Vector Assault Mode - Gamma Command (ability)
Ability: Fireworks|Fireworks (ability)
Ability: Grant Diplomatic Immunity|Grant Diplomatic Immunity (ability)
Ability: Rally Cry|Rally Cry (ability)
Ability: Breen Energy Syphon|Breen Energy Syphon (ability)
Ability: Superconducting Phase Channels|Superconducting Phase Channels (ability)
Ability: Thoron Distortion Field|Thoron Distortion Field (ability)
Ability: Autonomous Regeneration Sequencer|Autonomous Regeneration Sequencer (ability)
Ability: Multi-Regenerative Shield Array|Multi-Regenerative Shield Array (ability)
Ability: Dampening Field|Dampening Field (ability)
Ability: Seeker Drone Fabrication|Seeker Drone Fabrication (ability)
Ability: Antimatter Spread|Antimatter Spread (ability)
Ability: Photonic Shockwave Torpedo|Photonic Shockwave Torpedo (ability)
Ability: Impulse Burst|Impulse Burst (ability)
Ability: Emission-Seeking Torpedo|Emission-Seeking Torpedo (ability)
Ability: Point Defense System|Point Defense System (ability)
Ability: Emission-Seeking Photon Torpedo|Emission-Seeking Photon Torpedo (ability)
Ability: Tetryon Glider|Tetryon Glider (ability)
Ability: Carrier Command - Attack|Carrier Command - Attack (ability)
Ability: Carrier Command - Escort|Carrier Command - Escort (ability)
Ability: Carrier Command - Intercept|Carrier Command - Intercept (ability)
Ability: Carrier Command - Recall|Carrier Command - Recall (ability)
Ability: Aceton Beam|Aceton Beam (ability)
Ability: Tactical Readiness Network|Tactical Readiness Network (ability)
Ability: Deploy (devices)|Deploy (devices) (ability)
Ability: Enhanced Engineering Systems|Enhanced Engineering Systems (ability)
Ability: Prototype Plasma Projectile|Prototype Plasma Projectile (ability)
Ability: Covariant Capacitance Cell|Covariant Capacitance Cell (ability)
Ability: Gravitic Anchor|Gravitic Anchor (ability)
Ability: Dominion Synergy|Dominion Synergy (ability)
Ability: Victory is Life|Victory is Life (ability)
Ability: Antiproton Sweep|Antiproton Sweep (ability)
Ability: Emergency Shield Capacitor|Emergency Shield Capacitor (ability)
Ability: Integral Frequency Remodulator|Integral Frequency Remodulator (ability)
Ability: Magnetoplasma Relays|Magnetoplasma Relays (ability)
Ability: Heavy Graviton Beam|Heavy Graviton Beam (ability)
Ability: Distortion Field|Distortion Field (ability)
Ability: Team Ambush Field|Team Ambush Field (ability)
Ability: Blood of the Warrior|Blood of the Warrior (ability)
Ability: Mask Energy Field|Mask Energy Field (ability)
Ability: Tactical Readiness|Tactical Readiness (ability)
Ability: Sector Space Tycoon|Sector Space Tycoon (ability)
Ability: A Lifetime of Experience|A Lifetime of Experience (ability)
Ability: Friends In High Places|Friends In High Places (ability)
Ability: Jem'Hadar Shroud|Jem'Hadar Shroud (ability)
Ability: Combat Triage Subroutine|Combat Triage Subroutine (ability)
Ability: Adrenal Booster|Adrenal Booster (ability)
Ability: Marauder Battle Mode|Marauder Battle Mode (ability)
Ability: EMP Burst|EMP Burst (ability)
Ability: Thalaron Pulse|Thalaron Pulse (ability)
Ability: Violent Discharge|Violent Discharge (ability)
Ability: Absorption Lattice|Absorption Lattice (ability)
Ability: Enhanced Tactical Systems|Enhanced Tactical Systems (ability)
Ability: Temporal Inversion Field|Temporal Inversion Field (ability)
Ability: Chroniton Synchronicity|Chroniton Synchronicity (ability)
Ability: Transphasic Bomb|Transphasic Bomb (ability)
Ability: Torpedo Point Defense System|Torpedo Point Defense System (ability)
Ability: Fermion Field|Fermion Field (ability)
Ability: Multidimensional Graviton Shield|Multidimensional Graviton Shield (ability)
Ability: Quantum Field Focus Phaser|Quantum Field Focus Phaser (ability)
Ability: Quantum Focused Shield Bubble|Quantum Focused Shield Bubble (ability)
Ability: Manheim Effect|Manheim Effect (ability)
Ability: Plasma Hyperflux|Plasma Hyperflux (ability)
Ability: Temporal Backstep|Temporal Backstep (ability)
Ability: Plasma Conductive Circuitry|Plasma Conductive Circuitry (ability)
Ability: Dual Vector - Assault Command|Dual Vector - Assault Command (ability)
Ability: Dual Vector - Guardian Command|Dual Vector - Guardian Command (ability)
Ability: Romulan Battle Cloak|Romulan Battle Cloak (ability)
Ability: Energy Amplification|Energy Amplification (ability)
Ability: Refracting Assault|Refracting Assault (ability)
Ability: Dominion Fleet Maneuvering|Dominion Fleet Maneuvering (ability)
Ability: Singularity Projectile|Singularity Projectile (ability)
Ability: Singularity Overcharge|Singularity Overcharge (ability)
Ability: Singularity Jump|Singularity Jump (ability)
Ability: Warp Shadows|Warp Shadows (ability)
Ability: Quantum Absorption|Quantum Absorption (ability)
Ability: Plasma Shockwave|Plasma Shockwave (ability)
Ability: Secondary Shields|Secondary Shields (ability)
Ability: Cloaked Barrage|Cloaked Barrage (ability)
Ability: Enhanced Hoh'Sus Bird-of-Prey|Enhanced Hoh'Sus Bird-of-Prey (ability)
Ability: Enhanced Chevron Separation|Enhanced Chevron Separation (ability)
Ability: Launch Jem'Hadar Fighters|Launch Jem'Hadar Fighters (ability)
Ability: Fleet Maneuver Gamma|Fleet Maneuver Gamma (ability)
Ability: Unstable Tetryon Lattice|Unstable Tetryon Lattice (ability)
Ability: Shattering Harmonics|Shattering Harmonics (ability)
Ability: Shield Hardening Barrier|Shield Hardening Barrier (ability)
Ability: Strategic Maneuvering|Strategic Maneuvering (ability)
Ability: Shield Frequency Modulation|Shield Frequency Modulation (ability)
Ability: Weapon System Efficiency|Weapon System Efficiency (ability)
Ability: Attract Fire|Attract Fire (ability)
Ability: Romulan Cloak|Romulan Cloak (ability)
Ability: Enhanced Weapon Systems Efficiency|Enhanced Weapon Systems Efficiency (ability)
Ability: Enhanced Induction Coils|Enhanced Induction Coils (ability)
Ability: Sensor Disruption Field|Sensor Disruption Field (ability)
Ability: Built to Last|Built to Last (ability)
Ability: Focused Singularity Beam|Focused Singularity Beam (ability)
Ability: Deploy Work Bees|Deploy Work Bees (ability)
Ability: Subspace Wake|Subspace Wake (ability)
Ability: Tholian Web Cannon|Tholian Web Cannon (ability)
Ability: Subspace Snare|Subspace Snare (ability)
Ability: Nadion Saturation Bomb|Nadion Saturation Bomb (ability)
Ability: Unstable Bio-Molecular Personal Shield|Unstable Bio-Molecular Personal Shield (ability)
Ability: Bio-Molecular Conduits|Bio-Molecular Conduits (ability)
Ability: Indoctrination Nanites|Indoctrination Nanites (ability)
Ability: Shrapnel Torpedo Barrage|Shrapnel Torpedo Barrage (ability)
Ability: Launch Subspace Rupture|Launch Subspace Rupture (ability)
Ability: Hirogen Feign Death Trap|Hirogen Feign Death Trap (ability)
Ability: Fluidic Phase Jump|Fluidic Phase Jump (ability)
Ability: Deploy Spatial Charges|Deploy Spatial Charges (ability)
Ability: Tholian Web|Tholian Web (ability)
Ability: Team Fortress|Team Fortress (ability)
Ability: Vent Theta Radiation|Vent Theta Radiation (ability)
Ability: Enhanced Plasma Manifold|Enhanced Plasma Manifold (ability)
Ability: Photonic Displacement|Photonic Displacement (ability)
Ability: Enhanced Projectile Potency|Enhanced Projectile Potency (ability)
Ability: Singularity Stabilizer|Singularity Stabilizer (ability)
Ability: Destabilized Plasma Torpedo|Destabilized Plasma Torpedo (ability)
Ability: Improved Hull Regeneration|Improved Hull Regeneration (ability)
Ability: Bio-Molecular Photon Grenade|Bio-Molecular Photon Grenade (ability)
Ability: Gather Intelligence|Gather Intelligence (ability)
Ability: Raider Flanking|Raider Flanking (ability)
Ability: Override Subsystem Safeties|Override Subsystem Safeties (ability)
Ability: Energy Weapons: Surgical Strikes|Energy Weapons: Surgical Strikes (ability)
Ability: Torpedo: Transport Warhead|Torpedo: Transport Warhead (ability)
Ability: Electromagnetic Pulse Probe|Electromagnetic Pulse Probe (ability)
Ability: Subnucleonic Carrier Wave|Subnucleonic Carrier Wave (ability)
Ability: Kinetic Magnet|Kinetic Magnet (ability)
Ability: Ionic Turbulence|Ionic Turbulence (ability)
Ability: Viral Impulse Burst|Viral Impulse Burst (ability)
Ability: Evade Target Lock|Evade Target Lock (ability)
Ability: Subspace Beacon|Subspace Beacon (ability)
Ability: Intelligence Team|Intelligence Team (ability)
Ability: High Frequency Electromagnetic Pulse|High Frequency Electromagnetic Pulse (ability)
Ability: Polaron Bombardment|Polaron Bombardment (ability)
Ability: Launch Aero Shuttle|Launch Aero Shuttle (ability)
Ability: Radiant Subatomic Field|Radiant Subatomic Field (ability)
Ability: Advanced Radiant Hypercharge|Advanced Radiant Hypercharge (ability)
Ability: Take Cover|Take Cover (ability)
Ability: Kemocite-Laced Weaponry|Kemocite-Laced Weaponry (ability)
Ability: Experimental Alloy Plating|Experimental Alloy Plating (ability)
Ability: Ablative Hazard Shielding|Ablative Hazard Shielding (ability)
Ability: Frictionless Particle Grenade|Frictionless Particle Grenade (ability)
Ability: Firebringer|Firebringer (ability)
Ability: Molecular Cohesion Nullifier Field|Molecular Cohesion Nullifier Field (ability)
Ability: Attack Pattern Lambda|Attack Pattern Lambda (ability)
Ability: Structural Integrity Field Siphon|Structural Integrity Field Siphon (ability)
Ability: Engineering Team|Engineering Team (ability)
Ability: Hammer and Anvil|Hammer and Anvil (ability)
Ability: Generate Solar Gateway|Generate Solar Gateway (ability)
Ability: Overwhelm Shields|Overwhelm Shields (ability)
Ability: Return Fire|Return Fire (ability)
Ability: Sanctuary|Sanctuary (ability)
Ability: Strategic Analysis|Strategic Analysis (ability)
Ability: Shock and Awe|Shock and Awe (ability)
Ability: Timely Intervention|Timely Intervention (ability)
Ability: Resonant Dissipation Matrix|Resonant Dissipation Matrix (ability)
Ability: Overwhelm Emitters|Overwhelm Emitters (ability)
Ability: Reroute Power from Life Support|Reroute Power from Life Support (ability)
Ability: Ambush Point Marker|Ambush Point Marker (ability)
Ability: Call Emergency Artillery|Call Emergency Artillery (ability)
Ability: Concentrate Firepower|Concentrate Firepower (ability)
Ability: Suppression Barrage|Suppression Barrage (ability)
Ability: Phalanx Formation|Phalanx Formation (ability)
Ability: Rally Point Marker|Rally Point Marker (ability)
Ability: Subspace Interception|Subspace Interception (ability)
Ability: Harmless|Harmless (ability)
Ability: Feign Disintegration|Feign Disintegration (ability)
Ability: Call Xindi Weapon Platform|Call Xindi Weapon Platform (ability)
Ability: Kemocite Deployment Vortex|Kemocite Deployment Vortex (ability)
Ability: Infectious Bio-Matter Swarm|Infectious Bio-Matter Swarm (ability)
Ability: Chroniton Lance|Chroniton Lance (ability)
Ability: Incite Chaos|Incite Chaos (ability)
Ability: Neurolytic Hypo Injection|Neurolytic Hypo Injection (ability)
Ability: Photonic Decoy|Photonic Decoy (ability)
Ability: Site-to-Site Ensnare|Site-to-Site Ensnare (ability)
Ability: Sonic Suppression Field|Sonic Suppression Field (ability)
Ability: Resonant Tachyon Stream|Resonant Tachyon Stream (ability)
Ability: Subspace Anesthezine Mine|Subspace Anesthezine Mine (ability)
Ability: Tripwire Drone|Tripwire Drone (ability)
Ability: Cascade Resonance Emission|Cascade Resonance Emission (ability)
Ability: Energy Gateway|Energy Gateway (ability)
Ability: Ambush Gateway|Ambush Gateway (ability)
Ability: Oblivion Gateway|Oblivion Gateway (ability)
Ability: Endothermic Inhibitor Beam|Endothermic Inhibitor Beam (ability)
Ability: Subspace Vortex|Subspace Vortex (ability)
Ability: Destabilizing Resonance Beam|Destabilizing Resonance Beam (ability)
Ability: Deploy Countermeasures|Deploy Countermeasures (ability)
Ability: Lock Trajectory|Lock Trajectory (ability)
Ability: Pilot Team|Pilot Team (ability)
Ability: Particle Synthesizer|Particle Synthesizer (ability)
Ability: Tactical Mode (Heavy Destroyer)|Tactical Mode (Heavy Destroyer) (ability)
Ability: Clean Getaway|Clean Getaway (ability)
Ability: Energy Lotus|Energy Lotus (ability)
Ability: Tachyon Inversion Beams|Tachyon Inversion Beams (ability)
Ability: Regenerative Mode|Regenerative Mode (ability)
Ability: Secondary Discharge Capacitors|Secondary Discharge Capacitors (ability)
Ability: Regenerative Weapon Feedback|Regenerative Weapon Feedback (ability)
Ability: Disruptor Shell|Disruptor Shell (ability)
Ability: Warhead Module - Plasma|Warhead Module - Plasma (ability)
Ability: Warhead Module - Quantum|Warhead Module - Quantum (ability)
Ability: Energy Discharge Array|Energy Discharge Array (ability)
Ability: Isometric Charge|Isometric Charge (ability)
Ability: Fly Her Apart|Fly Her Apart (ability)
Ability: Structural Integrity Collapse|Structural Integrity Collapse (ability)
Ability: Singularity Collapse|Singularity Collapse (ability)
Ability: Hold Together|Hold Together (ability)
Ability: Heavy Phaser Lance|Heavy Phaser Lance (ability)
Ability: V.A.T.A. - Chroniton Mode|V.A.T.A. - Chroniton Mode (ability)
Ability: V.A.T.A. - Tachyon Mode|V.A.T.A. - Tachyon Mode (ability)
Ability: V.A.T.A. - Quantum Mode|V.A.T.A. - Quantum Mode (ability)
Ability: Reinforcements Squadron|Reinforcements Squadron (ability)
Ability: Coolant Ignition|Coolant Ignition (ability)
Ability: Form Up|Form Up (ability)
Ability: Energy Weapons: Reroute Reserves to Weapons|Energy Weapons: Reroute Reserves to Weapons (ability)
Ability: Subspace Boom|Subspace Boom (ability)
Ability: Deploy Sheshar Assault Craft|Deploy Sheshar Assault Craft (ability)
Ability: Subspace Transceiver - Summon Support Craft|Subspace Transceiver - Summon Support Craft (ability)
Ability: Crescent Wave Cannon Barrage|Crescent Wave Cannon Barrage (ability)
Ability: Focused Assault|Focused Assault (ability)
Ability: Emit Unstable Warp Bubble|Emit Unstable Warp Bubble (ability)
Ability: Shield-Penetrating Projectiles|Shield-Penetrating Projectiles (ability)
Ability: Timeline Analysis|Timeline Analysis (ability)
Ability: Supercharge Temporal Shielding|Supercharge Temporal Shielding (ability)
Ability: Annihilation Mode|Annihilation Mode (ability)
Ability: Singularity Inverter|Singularity Inverter (ability)
Ability: Sabotage Probe|Sabotage Probe (ability)
Ability: Breen Energy Dissipator|Breen Energy Dissipator (ability)
Ability: Riker Maneuver|Riker Maneuver (ability)
Ability: Deploy Aceton Assimilator|Deploy Aceton Assimilator (ability)
Ability: Deploy Repair Platform|Deploy Repair Platform (ability)
Ability: Shield Destabilizer|Shield Destabilizer (ability)
Ability: Subspace Jump|Subspace Jump (ability)
Ability: Antichroniton Infused Tetryon Discharge|Antichroniton Infused Tetryon Discharge (ability)
Ability: Temporal Phase Capacitor|Temporal Phase Capacitor (ability)
Ability: Harmonic Firing Enhancement Matrix|Harmonic Firing Enhancement Matrix (ability)
Ability: Quantum Destabilizing Beam|Quantum Destabilizing Beam (ability)
Ability: Reflective Immunity Matrix|Reflective Immunity Matrix (ability)
Ability: Activate Aceton Mode|Activate Aceton Mode (ability)
Ability: Timeline Analyzer|Timeline Analyzer (ability)
Ability: Graviton Pulse|Graviton Pulse (ability)
Ability: Temporal Distortions|Temporal Distortions (ability)
Ability: Tholian Sticky Web Wall|Tholian Sticky Web Wall (ability)
Ability: Timeline Stabilizer|Timeline Stabilizer (ability)
Ability: Isokinetic Cannon|Isokinetic Cannon (ability)
Ability: Prototype Tantalus Field|Prototype Tantalus Field (ability)
Ability: Trajector Jump|Trajector Jump (ability)
Ability: Bio-Molecular Reactive Shielding System|Bio-Molecular Reactive Shielding System (ability)
Ability: Bio-Molecular Fluidic Space Counter Blast|Bio-Molecular Fluidic Space Counter Blast (ability)
Ability: Heavy Bio-Molecular Turret Barrage|Heavy Bio-Molecular Turret Barrage (ability)
Ability: Capacitance Transfer|Capacitance Transfer (ability)
Ability: Proton Barrage|Proton Barrage (ability)
Ability: Radiant Subatomic Pulse|Radiant Subatomic Pulse (ability)
Ability: Advanced Metaphasic Shields|Advanced Metaphasic Shields (ability)
Ability: Secondary Torpedo Launchers|Secondary Torpedo Launchers (ability)
Ability: Chronometric Energy Converter|Chronometric Energy Converter (ability)
Ability: Temporal Distortion Field|Temporal Distortion Field (ability)
Ability: Polymorphic Probe Array|Polymorphic Probe Array (ability)
Ability: Constriction Anchor Launch|Constriction Anchor Launch (ability)
Ability: Polaron Cannon Barrage|Polaron Cannon Barrage (ability)
Ability: Assault Mode|Assault Mode (ability)
Ability: Chroniton Jolt|Chroniton Jolt (ability)
Ability: Microprojectile Barrage|Microprojectile Barrage (ability)
Ability: Activate Metaphasic Solar Capacitor|Activate Metaphasic Solar Capacitor (ability)
Ability: Soliton Wave Generator|Soliton Wave Generator (ability)
Ability: Thoron Pulse|Thoron Pulse (ability)
Ability: Orbital Chasing Beam|Orbital Chasing Beam (ability)
Ability: Adaptive Emergency Systems|Adaptive Emergency Systems (ability)
Ability: Micro Photon Torpedo Launcher|Micro Photon Torpedo Launcher (ability)
Ability: Neutronic Grenade|Neutronic Grenade (ability)
Ability: Energy Weapon Entanglement|Energy Weapon Entanglement (ability)
Ability: Heavy Plasma Lance|Heavy Plasma Lance (ability)
Ability: Pilot Maneuvers|Pilot Maneuvers (ability)
Ability: Heavy Disruptor Spinal Cannons|Heavy Disruptor Spinal Cannons (ability)
Ability: Weapon Systems Siphon|Weapon Systems Siphon (ability)
Ability: Voth Cloak|Voth Cloak (ability)
Ability: Voth Battle Cloak|Voth Battle Cloak (ability)
Ability: Light Cannon Barrage|Light Cannon Barrage (ability)
Ability: Tactical Mode (Dyson Science Destroyer)|Tactical Mode (Dyson Science Destroyer) (ability)
Ability: Plasma Barrage|Plasma Barrage (ability)
Ability: Plasma Wave|Plasma Wave (ability)
Ability: Trajectory Bending|Trajectory Bending (ability)
Ability: Cryonic Grenade|Cryonic Grenade (ability)
Ability: Graviton Spike|Graviton Spike (ability)
Ability: Mass Gravimetric Detonation|Mass Gravimetric Detonation (ability)
Ability: Enhanced Crawler Mine|Enhanced Crawler Mine (ability)
Ability: Time Slip|Time Slip (ability)
Ability: Tholian Tetryon Grid|Tholian Tetryon Grid (ability)
Ability: Threatening Stance|Threatening Stance (ability)
Ability: Crystalline Absorption Matrix|Crystalline Absorption Matrix (ability)
Ability: Fluidic Energy Focusing Array|Fluidic Energy Focusing Array (ability)
Ability: Destabilized Proton Beam|Destabilized Proton Beam (ability)
Ability: Shield Inversion|Shield Inversion (ability)
Ability: Protonic Shielding|Protonic Shielding (ability)
Ability: Warp Signature Masking|Warp Signature Masking (ability)
Ability: Deploy Unstable Entanglement Platform|Deploy Unstable Entanglement Platform (ability)
Ability: Enhanced Defensive Systems|Enhanced Defensive Systems (ability)
Ability: Call Repair Ship|Call Repair Ship (ability)
Ability: Fleet Weapon Acceleration|Fleet Weapon Acceleration (ability)
Ability: Violent Dampening Wave|Violent Dampening Wave (ability)
Ability: Call Hazari Shielding Drone|Call Hazari Shielding Drone (ability)
Ability: Reactive Antiproton Cascade|Reactive Antiproton Cascade (ability)
Ability: Magnetometric Overload|Magnetometric Overload (ability)
Ability: Launch Harasser Probes|Launch Harasser Probes (ability)
Ability: Regenerative Integrity Field|Regenerative Integrity Field (ability)
Ability: Solar Flare Gateway|Solar Flare Gateway (ability)
Ability: Fleet Maneuver Alpha|Fleet Maneuver Alpha (ability)
Ability: Dominion Defense Screen|Dominion Defense Screen (ability)
Ability: Molecular Reconstruction|Molecular Reconstruction (ability)
Ability: Cold Fusion Flash|Cold Fusion Flash (ability)
Ability: Launch Proton Charges|Launch Proton Charges (ability)
Ability: Auxiliary Warp Core Ejection|Auxiliary Warp Core Ejection (ability)
Ability: Activate Drill Laser|Activate Drill Laser (ability)
Ability: Deploy Gravimetric Traps|Deploy Gravimetric Traps (ability)
Ability: Seismic Agitation Field|Seismic Agitation Field (ability)
Ability: Broadside Cannon Barrage|Broadside Cannon Barrage (ability)
Ability: Channeled Deconstruction|Channeled Deconstruction (ability)
Ability: Deploy Heavy Phaser Assault Platform|Deploy Heavy Phaser Assault Platform (ability)
Ability: Subspace Rift|Subspace Rift (ability)
Ability: Degeneration|Degeneration (ability)
Ability: Causal Entanglement|Causal Entanglement (ability)
Ability: Chronometric Diffusion|Chronometric Diffusion (ability)
Ability: Chronoplasty|Chronoplasty (ability)
Ability: Entropic Contagion|Entropic Contagion (ability)
Ability: Paradox Bomb|Paradox Bomb (ability)
Ability: Recursive Affliction|Recursive Affliction (ability)
Ability: Spread Decay|Spread Decay (ability)
Ability: Tachyonic Conversion|Tachyonic Conversion (ability)
Ability: Uncertainty Burst|Uncertainty Burst (ability)
Ability: Temporal Narcosis|Temporal Narcosis (ability)
Ability: Swarm Missiles|Swarm Missiles (ability)
Ability: Inspiration Abilities|Inspiration Abilities (ability)
